work_name,composer,pitch_range,harmonic_complexity,rhythmic_variability,note_density,style_period
Bach_Chorale_BWV1.6,Bach,36,3.42236,0.515313,23.714286,Baroque
Bach_Chorale_BWV10.7,Bach,34,3.147059,0.585073,9.636364,Baroque
Bach_Chorale_BWV14.5,Bach,31,3.246753,0.382107,18.416667,Baroque
Bach_Chorale_BWV40.3,Bach,32,3.279412,0.29436,17.0,Baroque
Bach_Chorale_BWV64.2,Bach,33,3.186441,0.389051,14.916667,Baroque
Corelli_Op3No1_Grave,Corelli,48,2.541353,0.694017,13.368421,Baroque
Haydn_Op1No1_Mvt1,Haydn,45,2.225275,0.466589,14.333333,Classical
Haydn_Op74No1_Mvt1,Haydn,55,2.741269,0.956764,17.974194,Classical
Mozart_K155_Mvt1,Mozart,52,2.699319,0.782579,20.630252,Classical
Mozart_K156_Mvt1,Mozart,48,2.445669,0.602816,7.616667,Classical
Mozart_K80_Mvt1,Mozart,48,2.720065,0.88701,20.0,Classical
Mozart_K458_Mvt1,Mozart,55,2.673913,0.865851,14.59364,Classical
Beethoven_Op18No1_Mvt1,Beethoven,58,2.638647,0.963599,12.936102,Classical
Beethoven_Op18No3_Mvt1,Beethoven,60,2.7647,0.9818,11.7232,Classical
Beethoven_Op59No1_Mvt1,Beethoven,60,2.810177,0.995599,14.1725,Romantic_Early
Beethoven_Op59No2_Mvt1,Beethoven,57,2.639962,0.920485,19.701149,Romantic_Early
Beethoven_Op74_Mvt1,Beethoven,60,2.6745,0.9166,16.7557,Romantic_Early
Beethoven_Op132_Mvt1,Beethoven,59,2.8315,1.0295,18.7433,Romantic_Early
Beethoven_Op133,Beethoven,60,2.5683,0.9147,13.1011,Romantic_Early
Schumann_Op41No1_Mvt1,Schumann,53,2.641825,0.693608,10.008021,Romantic_Early
Mendelssohn_Op13_Mvt1,Mendelssohn,59,3.0137,0.9909,18.5873,Romantic_Early
Debussy_Op10_Mvt1,Debussy,57,3.2598,0.9599,28.8299,Romantic_Late
Bartok_Op7_Mvt1,Bartok,57,3.3941,0.9149,23.6338,Romantic_Late
Ravel_Quartet_Mvt1,Ravel,57,3.0831,0.8702,17.1174,Romantic_Late
Dvorak_Op96_Mvt1,Dvorak,60,2.8303,1.0529,22.2022,Romantic_Late
Brahms_Op67_Mvt1,Brahms,58,2.6535,0.7626,15.1965,Romantic_Late
